RFM_Segment,Frequency_items,Longevity_months,Recency_in_weeks,Flaged,Promotional_percentage,Beer,Bottled_Water,Bread,Meat,Dairy,Fresh_Foods,Frozen_Foods,Fruit_Beverages,Pastry,Sodas,Toiletries,Veggies,Wines,ZIP_Missing,ZIP_8,ZIP_0,ZIP_4,ZIP_Others,Relevance_Priority,Has_Returns,Education_Years
111,24.45,13.44,7.35,0.0,11.02,52.27,52.03,22.1,0.72,61.44,34.35,45.31,24.49,42.97,23.2,17.37,15.55,13.47,0.01,0.62,0.31,0.05,0.0,0.95,0.02,13.36
112,24.59,13.73,7.28,0.0,11.61,64.73,64.4,29.36,0.89,38.73,55.1,78.41,43.62,47.16,29.62,18.46,20.54,17.69,0.01,0.64,0.3,0.05,0.0,0.95,0.02,13.33
113,24.47,14.26,6.38,0.03,15.17,76.94,57.42,53.96,34.32,65.14,117.52,131.38,91.77,65.85,84.98,23.08,52.89,26.77,0.01,0.67,0.25,0.07,0.0,0.93,0.09,12.99
121,37.75,13.41,7.52,0.0,11.59,52.1,51.63,22.08,0.59,61.62,34.61,45.06,24.66,42.38,23.44,17.11,16.36,13.78,0.01,0.5,0.44,0.05,0.0,0.94,0.03,13.33
122,37.77,13.37,7.39,0.01,11.44,64.16,63.66,29.35,0.79,39.26,56.45,75.8,44.19,48.71,29.07,18.7,20.8,17.79,0.01,0.52,0.42,0.04,0.0,0.94,0.03,13.3
123,37.92,14.06,6.61,0.03,14.64,67.8,57.51,43.4,21.49,55.29,100.98,118.15,82.9,64.65,69.2,22.58,37.21,17.7,0.01,0.61,0.33,0.05,0.0,0.92,0.09,12.98
131,53.9,14.57,7.44,0.0,11.48,51.72,51.65,21.93,0.62,62.03,35.46,44.27,24.96,43.23,22.83,17.44,16.3,13.29,0.01,0.54,0.4,0.05,0.0,0.95,0.03,13.13
132,53.86,14.53,7.35,0.01,11.87,64.34,63.93,29.39,0.93,39.41,55.31,77.23,43.27,47.55,29.26,19.2,21.25,17.87,0.01,0.57,0.37,0.05,0.0,0.95,0.03,13.09
133,54.25,14.84,6.52,0.05,14.22,68.42,59.17,47.75,26.13,66.35,103.24,116.57,81.94,63.52,77.63,22.99,41.6,18.26,0.01,0.67,0.28,0.04,0.0,0.91,0.11,12.8
211,24.79,13.63,11.49,0.0,11.26,52.71,52.65,22.58,0.35,59.14,34.2,46.16,25.07,43.66,23.29,17.05,14.96,13.35,0.01,0.6,0.35,0.04,0.0,0.94,0.02,13.41
212,24.76,13.88,11.48,0.0,12.05,63.72,63.65,29.43,0.38,38.2,56.67,77.1,45.67,47.56,28.7,18.79,20.74,17.85,0.01,0.59,0.35,0.05,0.0,0.95,0.03,13.4
213,24.8,13.97,11.45,0.01,14.15,58.15,55.57,31.8,3.72,36.22,89.13,85.67,73.68,65.12,47.98,20.74,28.82,14.94,0.01,0.61,0.32,0.05,0.0,0.94,0.06,13.21
221,37.82,13.16,11.45,0.0,11.89,52.43,52.1,22.16,0.33,60.52,35.19,45.72,25.29,41.41,22.48,17.35,15.75,13.49,0.01,0.47,0.48,0.04,0.0,0.94,0.02,13.42
222,37.85,13.14,11.48,0.0,11.98,64.41,64.06,29.38,0.38,37.38,57.06,78.53,45.53,46.84,28.86,18.5,19.97,17.56,0.01,0.47,0.47,0.04,0.0,0.93,0.03,13.36
223,37.79,13.72,11.44,0.01,13.25,56.73,54.57,31.33,2.8,36.92,90.5,84.8,75.11,64.7,46.66,20.63,26.63,15.24,0.01,0.54,0.4,0.05,0.0,0.93,0.06,13.22
231,53.47,14.42,11.51,0.0,11.42,52.25,52.39,22.16,0.33,60.69,35.26,45.28,24.84,43.18,22.67,17.19,15.42,13.41,0.01,0.49,0.45,0.04,0.01,0.94,0.03,13.2
232,53.64,14.55,11.5,0.0,11.51,64.07,63.95,29.23,0.42,38.58,56.18,77.56,44.71,46.82,29.35,18.73,20.89,18.16,0.01,0.5,0.44,0.05,0.0,0.94,0.03,13.23
233,54.13,14.82,11.46,0.02,13.18,57.98,55.96,31.5,3.14,38.08,91.36,86.96,74.09,63.42,48.03,20.74,30.77,15.34,0.01,0.58,0.36,0.05,0.0,0.93,0.08,13.04
311,24.89,13.48,15.62,0.0,11.43,52.9,52.96,22.67,0.18,58.83,35.24,46.15,25.85,43.2,22.86,17.13,15.32,13.54,0.01,0.56,0.38,0.05,0.0,0.94,0.02,13.51
312,24.85,13.5,15.65,0.0,11.63,63.9,64.0,29.42,0.19,37.44,56.2,78.92,45.74,46.55,29.3,18.78,20.29,17.4,0.01,0.57,0.37,0.05,0.0,0.94,0.03,13.46
313,24.66,13.76,15.55,0.01,12.91,55.52,54.53,29.97,0.66,33.4,88.93,81.65,74.69,63.23,43.98,20.42,26.03,14.26,0.01,0.59,0.35,0.05,0.0,0.93,0.06,13.31
321,37.79,13.24,15.65,0.0,11.63,52.29,52.34,22.29,0.23,60.13,35.42,45.38,25.22,42.05,22.28,17.34,15.09,13.51,0.01,0.44,0.51,0.04,0.0,0.94,0.03,13.47
322,37.88,13.12,15.68,0.0,12.34,63.83,63.76,29.36,0.19,37.38,57.06,77.82,45.73,47.63,29.56,19.04,20.16,17.06,0.01,0.44,0.51,0.04,0.0,0.93,0.03,13.45
323,37.79,13.4,15.61,0.01,13.33,54.31,54.19,29.83,0.64,33.66,89.87,80.25,75.53,64.8,44.81,20.57,25.85,14.15,0.01,0.48,0.46,0.05,0.0,0.93,0.06,13.35
331,53.27,14.34,15.65,0.0,11.25,52.44,52.43,22.31,0.2,59.45,35.04,45.7,25.61,42.54,21.79,17.04,15.39,13.85,0.01,0.44,0.5,0.05,0.0,0.94,0.03,13.25
332,53.39,14.49,15.6,0.0,11.81,64.55,64.73,29.5,0.2,37.56,55.56,78.43,44.55,47.46,28.51,18.82,20.72,17.9,0.01,0.46,0.48,0.04,0.0,0.93,0.04,13.23
333,53.67,14.83,15.53,0.02,12.98,54.88,55.23,30.04,0.45,34.01,89.47,83.44,73.65,61.82,44.1,20.79,26.96,14.8,0.01,0.5,0.43,0.05,0.01,0.92,0.07,13.06
